"UniqueID","SiteID","Longitude","Latitude","puntos10","puntos11","puntos12"
4,594,-80.75,82.83493644,-3.79999995231628,-392.799987792969,70
5,595,-79.25,82.83493644,-21.6499996185303,-406.799987792969,112.300003051758
6,596,-77.75,82.83493644,-17.0499992370605,-394.049987792969,103.75
7,597,-76.25,82.83493644,-29.2000007629395,-401.200012207031,135.300003051758
11,698,-86,82.40192356,0.800000011920929,-404.350006103516,64.9000015258789
12,699,-84.5,82.40192356,0.649999976158142,-401.350006103516,64.1999969482422
14,701,-81.5,82.40192356,-31.7999992370605,-427.799987792969,147.149993896484
15,702,-80,82.40192356,-7.09999990463257,-391.100006103516,82.6999969482422
16,703,-78.5,82.40192356,-61.6500015258789,-449.649993896484,257.299987792969
17,704,-77,82.40192356,-69.1999969482422,-451.350006103516,292.149993896484
21,803,-88.25,81.968911,-8.05000019073486,-412.200012207031,82.75
22,804,-86.75,81.968911,-9.19999980926514,-417.200012207031,88.1999969482422
23,805,-85.25,81.968911,-3.5,-408.5,79.0500030517578
24,806,-83.75,81.968911,-17.6499996185303,-420.649993896484,112.050003051758
25,807,-82.25,81.968911,-27.7999992370605,-424.950012207031,140.199996948242
26,808,-80.75,81.968911,-16.1000003814697,-404.100006103516,107.050003051758
27,809,-79.25,81.968911,-10.1000003814697,-390.950012207031,93.1999969482422
28,810,-77.75,81.968911,-61.7999992370605,-444.799987792969,266.5
29,811,-76.25,81.968911,-61.7999992370605,-437.5,270.600006103516
33,910,-89,81.53589844,-12.6000003814697,-412.75,95.4499969482422
34,911,-87.5,81.53589844,-11.0500001907349,-417.049987792969,98.3000030517578
35,912,-86,81.53589844,-16.5,-424.5,110.599998474121
36,913,-84.5,81.53589844,-30.9500007629395,-438.799987792969,159.600006103516
37,914,-83,81.53589844,-45.0999984741211,-448.100006103516,204.449996948242
38,915,-81.5,81.53589844,-59.4000015258789,-458.399993896484,261.149993896484
39,916,-80,81.53589844,-68.6999969482422,-462.549987792969,299.25
40,917,-78.5,81.53589844,-37.25,-417.25,179.449996948242
41,918,-77,81.53589844,-42.9500007629395,-416.950012207031,198.100006103516
42,919,-75.5,81.53589844,-43.9500007629395,-409.950012207031,204.350006103516
45,1013,-94.25,81.10288556,-11.8000001907349,-395.799987792969,76.6999969482422
46,1014,-92.75,81.10288556,-14.0500001907349,-400.049987792969,80.6999969482422
48,1016,-89.75,81.10288556,-11.1499996185303,-407.149993896484,93.6999969482422
49,1017,-88.25,81.10288556,-7.44999980926514,-408.600006103516,94.1500015258789
50,1018,-86.75,81.10288556,0.800000011920929,-403.200012207031,76.4499969482422
51,1019,-85.25,81.10288556,-10.9499998092651,-416.100006103516,105.300003051758
52,1020,-83.75,81.10288556,-12.3999996185303,-411.399993896484,112.150001525879
53,1021,-82.25,81.10288556,-26.5499992370605,-420.549987792969,148.399993896484
54,1022,-80.75,81.10288556,-41.7000007629395,-431.700012207031,199.199996948242
55,1023,-79.25,81.10288556,-1.54999995231628,-375.700012207031,84
56,1024,-77.75,81.10288556,-30.5499992370605,-404.399993896484,162.350006103516
57,1025,-76.25,81.10288556,-21.25,-385.100006103516,138.050003051758
62,1120,-95,80.669873,-11.9499998092651,-391.799987792969,79.25
63,1121,-93.5,80.669873,-22.0499992370605,-401.899993896484,96.6500015258789
64,1122,-92,80.669873,-32,-412.850006103516,112.349998474121
67,1125,-87.5,80.669873,-1.75,-402.75,85
68,1126,-86,80.669873,-1.79999995231628,-407.799987792969,89
69,1127,-84.5,80.669873,-15.3999996185303,-417.399993896484,122.949996948242
71,1129,-81.5,80.669873,-16.8500003814697,-404.700012207031,125.650001525879
73,1131,-78.5,80.669873,-18,-391.700012207031,128.050003051758
74,1132,-77,80.669873,-32.7000007629395,-400.700012207031,172.649993896484
75,1133,-75.5,80.669873,-45.0999984741211,-408.100006103516,219.100006103516
82,1226,-95.75,80.23686044,-16.1000003814697,-390.950012207031,85.6500015258789
83,1227,-94.25,80.23686044,-17.8999996185303,-393.899993896484,93.5
84,1228,-92.75,80.23686044,-53.7000007629395,-422.850006103516,150.550003051758
85,1229,-91.25,80.23686044,-35.5,-412.649993896484,127.599998474121
86,1230,-89.75,80.23686044,-3.25,-394.100006103516,86.4000015258789
87,1231,-88.25,80.23686044,-2,-399,93.25
89,1233,-85.25,80.23686044,10.8999996185303,-389.100006103516,66.6999969482422
90,1234,-83.75,80.23686044,8.14999961853027,-383.700012207031,70
91,1235,-82.25,80.23686044,1.85000002384186,-384,85.25
92,1236,-80.75,80.23686044,-15.1499996185303,-397.149993896484,126.449996948242
93,1237,-79.25,80.23686044,-31.1499996185303,-409,172.949996948242
94,1238,-77.75,80.23686044,-56,-431,263.850006103516
95,1239,-76.25,80.23686044,-55.7000007629395,-422.549987792969,265.5
103,1333,-96.5,79.80384756,-12.8000001907349,-384.799987792969,84.3499984741211
104,1334,-95,79.80384756,-33.9000015258789,-401.600006103516,119.400001525879
105,1335,-93.5,79.80384756,-19.7000007629395,-391.850006103516,99.3499984741211
106,1336,-92,79.80384756,-67.5,-431.649993896484,185.199996948242
107,1337,-90.5,79.80384756,-56.5,-430.350006103516,178.100006103516
108,1338,-89,79.80384756,-14.25,-408.399993896484,128.600006103516
109,1339,-87.5,79.80384756,6.84999990463257,-389.299987792969,78.4000015258789
110,1340,-86,79.80384756,5.5,-395.649993896484,82.25
111,1341,-84.5,79.80384756,5.75,-388.399993896484,82.25
112,1342,-83,79.80384756,-18,-408,140.25
113,1343,-81.5,79.80384756,-0.300000011920929,-381.149993896484,95.75
114,1344,-80,79.80384756,-30.4500007629395,-409.299987792969,176.149993896484
115,1345,-78.5,79.80384756,-40.4500007629395,-414.450012207031,213.75
116,1346,-77,79.80384756,-31,-395,178.350006103516
117,1347,-75.5,79.80384756,-29.25,-384.25,175.899993896484
128,1440,-95.75,79.370835,-8.44999980926514,-378.450012207031,87.0500030517578
129,1441,-94.25,79.370835,-5.55000019073486,-377.549987792969,86.5
131,1443,-91.25,79.370835,-17.0499992370605,-392.049987792969,110.300003051758
132,1444,-89.75,79.370835,-30.5,-415.649993896484,160.649993896484
133,1445,-88.25,79.370835,-1.54999995231628,-392.700012207031,98.5999984741211
134,1446,-86.75,79.370835,7.25,-387.75,82.1999969482422
135,1447,-85.25,79.370835,13.1999998092651,-380.799987792969,71.0999984741211
136,1448,-83.75,79.370835,-7.40000009536743,-396.549987792969,119.550003051758
137,1449,-82.25,79.370835,-2.15000009536743,-384,103.300003051758
138,1450,-80.75,79.370835,-0.449999988079071,-375.450012207031,97
139,1451,-79.25,79.370835,-32.5999984741211,-406.600006103516,190.350006103516
140,1452,-77.75,79.370835,-30.1499996185303,-396.299987792969,182.75
141,1453,-76.25,79.370835,-12.5500001907349,-367.549987792969,128.850006103516
149,1542,-104,78.937822,-12.25,-382.25,95.4000015258789
151,1544,-101,78.937822,-11.8999996185303,-380.049987792969,95.0500030517578
156,1549,-93.5,78.937822,-7.5,-376.350006103516,98.75
157,1550,-92,78.937822,-25.8999996185303,-392.75,127.25
158,1551,-90.5,78.937822,-44.0499992370605,-413.049987792969,165.75
159,1552,-89,78.937822,-36.7999992370605,-428.799987792969,211.199996948242
160,1553,-87.5,78.937822,-9.85000038146973,-401.850006103516,129.100006103516
