"UniqueID","SiteID","Longitude","Latitude","puntos10","puntos11","puntos12"
4,594,-80.75,82.83493644,66.9304351806641,-374.200012207031,92.7478256225586
5,595,-79.25,82.83493644,48.034782409668,-394.834777832031,142.434783935547
6,596,-77.75,82.83493644,54.1391296386719,-384.469573974609,129.800003051758
7,597,-76.25,82.83493644,42.0869560241699,-392.469573974609,159.747833251953
11,698,-86,82.40192356,68.295654296875,-386.043487548828,89.0173950195312
14,701,-81.5,82.40192356,44.6173896789551,-410.147827148438,173.59130859375
15,702,-80,82.40192356,71.4086990356445,-375.147827148438,108.486953735352
16,703,-78.5,82.40192356,13.7217388153076,-440.626098632812,290.278259277344
17,704,-77,82.40192356,5.87826108932495,-446.313049316406,322.382598876953
21,803,-88.25,81.968911,55.5565223693848,-393.991302490234,103.17391204834
22,804,-86.75,81.968911,60.1913032531738,-398.991302490234,112.121742248535
23,805,-85.25,81.968911,67.9826049804688,-395.782623291016,110.65217590332
24,806,-83.75,81.968911,62.4608688354492,-403.095642089844,140.808700561523
25,807,-82.25,81.968911,58.0956535339355,-403.40869140625,159.382614135742
26,808,-80.75,81.968911,65.2521743774414,-390.991302490234,139.600006103516
27,809,-79.25,81.968911,72.1999969482422,-377.939117431641,120.913040161133
28,810,-77.75,81.968911,21.2521743774414,-434.730438232422,286.434783935547
29,811,-76.25,81.968911,16.5130443572998,-431.417388916016,296.808685302734
33,910,-89,81.53589844,52.6086959838867,-395.782623291016,115.121742248535
34,911,-87.5,81.53589844,55.4000015258789,-402.730438232422,128.495651245117
35,912,-86,81.53589844,60.6695671081543,-407.043487548828,137.75651550293
36,913,-84.5,81.53589844,51.2521743774414,-423.043487548828,187.704345703125
37,914,-83,81.53589844,40.9913024902344,-432.147827148438,235.495651245117
38,915,-81.5,81.53589844,28.7826080322266,-442.252166748047,289.547821044922
39,916,-80,81.53589844,18.7304344177246,-449.147827148438,332.026092529297
40,917,-78.5,81.53589844,47.9913024902344,-409.730438232422,211.443481445312
41,918,-77,81.53589844,35.4608688354492,-418.156524658203,248.034790039062
42,919,-75.5,81.53589844,34.4608688354492,-404.521728515625,237.713043212891
45,1013,-94.25,81.10288556,37.1304359436035,-383.834777832031,94.965217590332
46,1014,-92.75,81.10288556,41.0260887145996,-387.626098632812,99.9130401611328
48,1016,-89.75,81.10288556,53.7652168273926,-392.469573974609,114.808692932129
49,1017,-88.25,81.10288556,62.4000015258789,-392.678253173828,117.808692932129
51,1019,-85.25,81.10288556,69.3565216064453,-404.886962890625,144.973907470703
53,1021,-82.25,81.10288556,63.6260871887207,-406.200012207031,184.869567871094
54,1022,-80.75,81.10288556,51.4173927307129,-416.304351806641,232.660873413086
55,1023,-79.25,81.10288556,91.4695663452148,-362.200012207031,114.391304016113
56,1024,-77.75,81.10288556,54.8869552612305,-401.521728515625,203.295654296875
57,1025,-76.25,81.10288556,61.1478271484375,-380.521728515625,174.452178955078
63,1121,-93.5,80.669873,30.1826095581055,-390.521728515625,113.704345703125
64,1122,-92,80.669873,26.1826095581055,-401.208709716797,130.547821044922
67,1125,-87.5,80.669873,73.9826049804688,-386.730438232422,108.756523132324
68,1126,-86,80.669873,80.3043441772461,-392.991302490234,116.547828674316
69,1127,-84.5,80.669873,75.6260833740234,-402.200012207031,153.078262329102
71,1129,-81.5,80.669873,77.3130416870117,-391.200012207031,163.556518554688
73,1131,-78.5,80.669873,69.6260833740234,-386.730438232422,172.982604980469
74,1132,-77,80.669873,52.8347816467285,-399.521728515625,221.043472290039
75,1133,-75.5,80.669873,35.3043479919434,-401.626098632812,262.521728515625
82,1226,-95.75,80.23686044,29.2347831726074,-379.834777832031,103.65217590332
83,1227,-94.25,80.23686044,33.2869567871094,-380.626098632812,109.704345703125
84,1228,-92.75,80.23686044,3.33913040161133,-411.208709716797,168.026092529297
85,1229,-91.25,80.23686044,26.4434776306152,-401.791290283203,148.182601928711
86,1230,-89.75,80.23686044,64.8695678710938,-380.104339599609,106.756523132324
87,1231,-88.25,80.23686044,71.3478240966797,-383.469573974609,118.443481445312
89,1233,-85.25,80.23686044,98.8869552612305,-375.043487548828,97.2869567871094
90,1234,-83.75,80.23686044,102.313041687012,-370.200012207031,103.23477935791
91,1235,-82.25,80.23686044,97.1565246582031,-368.40869140625,118.973915100098
92,1236,-80.75,80.23686044,78.260871887207,-384.304351806641,168.930435180664
93,1237,-79.25,80.23686044,62.2608680725098,-396.252166748047,209.773910522461
94,1238,-77.75,80.23686044,32.5739135742188,-424.886962890625,306.843475341797
95,1239,-76.25,80.23686044,26.991304397583,-417.678253173828,309.373901367188
104,1334,-95,79.80384756,12.5478258132935,-390.417388916016,139.817398071289
105,1335,-93.5,79.80384756,33.5478248596191,-378.313049316406,115.65217590332
106,1336,-92,79.80384756,-6.5043478012085,-418.895660400391,202.608688354492
107,1337,-90.5,79.80384756,8.28695678710938,-417.791290283203,200.608688354492
108,1338,-89,79.80384756,55.7652168273926,-394.208709716797,151.078262329102
109,1339,-87.5,79.80384756,83.1391296386719,-373.573913574219,102.547828674316
110,1340,-86,79.80384756,90.2521743774414,-381.886962890625,111.23477935791
111,1341,-84.5,79.80384756,97.6260833740234,-375.095642089844,114.078262329102
112,1342,-83,79.80384756,78.1565246582031,-393.356536865234,172.139129638672
113,1343,-81.5,79.80384756,97.9478225708008,-363.565216064453,123.817390441895
114,1344,-80,79.80384756,63.1565208435059,-395.40869140625,213.199996948242
115,1345,-78.5,79.80384756,48.4173927307129,-405.200012207031,253.313049316406
116,1346,-77,79.80384756,54.7304344177246,-387.939117431641,221.313049316406
117,1347,-75.5,79.80384756,49.3565216064453,-375.782623291016,219.156524658203
131,1443,-91.25,79.370835,49.3391304016113,-374.947814941406,123.495651245117
132,1444,-89.75,79.370835,39.0260887145996,-400.052185058594,174.921737670898
133,1445,-88.25,79.370835,70.5565185546875,-378.313049316406,124.869567871094
134,1446,-86.75,79.370835,86.7739105224609,-373.626098632812,110.921737670898
