"UniqueID","SiteID","Longitude","Latitude","puntos10","puntos11","puntos12"
4,594,-80.75,82.83493644,-80.7565231323242,-479.799987792969,74.3826065063477
5,595,-79.25,82.83493644,-98.1217422485352,-495.078247070312,119.47826385498
6,596,-77.75,82.83493644,-90.4869537353516,-479.356536865234,112.199996948242
7,597,-76.25,82.83493644,-103.304344177246,-487.356536865234,141.382614135742
11,698,-86,82.40192356,-74.034782409668,-489.347839355469,59.9391288757324
14,701,-81.5,82.40192356,-107.660865783691,-514.982604980469,152.930435180664
15,702,-80,82.40192356,-83.9304351806641,-479.982604980469,86.295654296875
16,703,-78.5,82.40192356,-137.026092529297,-537.808715820312,265.026092529297
17,704,-77,82.40192356,-142.573913574219,-538.904357910156,298.660858154297
21,803,-88.25,81.968911,-82.9478225708008,-496.530426025391,76.3913040161133
22,804,-86.75,81.968911,-83.669563293457,-501.530426025391,84.5739135742188
23,805,-85.25,81.968911,-78.9391326904297,-495.260864257812,76.2173919677734
24,806,-83.75,81.968911,-92.1130447387695,-507.165222167969,108.669563293457
25,807,-82.25,81.968911,-101.834785461426,-512.069580078125,135.660873413086
26,808,-80.75,81.968911,-92.3826065063477,-493.530426025391,104.400001525879
27,809,-79.25,81.968911,-86.1999969482422,-479.713043212891,90.3043441772461
28,810,-77.75,81.968911,-136.382614135742,-533.443481445312,263.478271484375
29,811,-76.25,81.968911,-137.295654296875,-525.539123535156,264.669555664062
33,910,-89,81.53589844,-85.1304321289062,-495.260864257812,87.5739135742188
34,911,-87.5,81.53589844,-85.4000015258789,-501.443481445312,91.7652206420898
35,912,-86,81.53589844,-90.8434753417969,-510.347839355469,104.852172851562
36,913,-84.5,81.53589844,-106.382606506348,-526.347839355469,154.034790039062
37,914,-83,81.53589844,-120.469566345215,-536.982604980469,198.765213012695
38,915,-81.5,81.53589844,-135.739135742188,-548.617370605469,253.582611083984
39,916,-80,81.53589844,-146.556518554688,-553.982604980469,288.40869140625
40,917,-78.5,81.53589844,-113.469566345215,-508.443481445312,173.947830200195
41,918,-77,81.53589844,-119.11304473877,-508.452178955078,189.878265380859
42,919,-75.5,81.53589844,-120.11304473877,-500.173919677734,189.504348754883
