"UniqueID","SiteID","Longitude","Latitude","puntos10","puntos11","puntos12"
4,594,-80.75,82.83493644,-42.1565208435059,-452.200012207031,79.1826095581055
5,595,-79.25,82.83493644,-59.9217376708984,-468.878265380859,125.47826385498
6,596,-77.75,82.83493644,-52.6869583129883,-454.556518554688,116.800003051758
7,597,-76.25,82.83493644,-65.3043441772461,-462.556518554688,146.182601928711
11,698,-86,82.40192356,-36.8347816467285,-462.347839355469,67.5391311645508
14,701,-81.5,82.40192356,-67.8608703613281,-487.582611083984,158.330429077148
15,702,-80,82.40192356,-43.3304328918457,-452.582611083984,92.0956497192383
16,703,-78.5,82.40192356,-97.6260833740234,-512.40869140625,271.626098632812
17,704,-77,82.40192356,-103.773910522461,-514.704345703125,304.860870361328
21,803,-88.25,81.968911,-46.7478256225586,-469.730438232422,83.3913040161133
22,804,-86.75,81.968911,-46.0695648193359,-474.730438232422,91.7739105224609
23,805,-85.25,81.968911,-40.5391311645508,-469.260864257812,85.2173919677734
24,806,-83.75,81.968911,-51.7130432128906,-479.965209960938,117.069564819336
25,807,-82.25,81.968911,-60.034782409668,-483.669555664062,141.860870361328
26,808,-80.75,81.968911,-51.1826095581055,-466.730438232422,113.599998474121
27,809,-79.25,81.968911,-44.7999992370605,-453.113037109375,98.3043441772461
28,810,-77.75,81.968911,-95.1826095581055,-507.643463134766,269.478271484375
29,811,-76.25,81.968911,-97.0956497192383,-500.939117431641,273.069580078125
33,910,-89,81.53589844,-49.1304359436035,-469.260864257812,94.7739105224609
34,911,-87.5,81.53589844,-48.5999984741211,-475.643463134766,101.365219116211
35,912,-86,81.53589844,-51.2434768676758,-483.347839355469,113.452171325684
36,913,-84.5,81.53589844,-65.1826095581055,-499.347839355469,162.834777832031
37,914,-83,81.53589844,-78.2695617675781,-509.582611083984,208.365219116211
38,915,-81.5,81.53589844,-92.739128112793,-520.8173828125,262.982604980469
39,916,-80,81.53589844,-103.356521606445,-526.582580566406,299.808685302734
40,917,-78.5,81.53589844,-71.2695617675781,-482.643463134766,183.747833251953
41,918,-77,81.53589844,-78.7130432128906,-484.852172851562,205.078262329102
42,919,-75.5,81.53589844,-79.7130432128906,-475.173919677734,202.104354858398
45,1013,-94.25,81.10288556,-58.9565200805664,-457.878265380859,72.9217376708984
46,1014,-92.75,81.10288556,-56.1913032531738,-459.40869140625,77.3043441772461
48,1016,-89.75,81.10288556,-46.2782592773438,-462.556518554688,91.0695648193359
49,1017,-88.25,81.10288556,-41.5999984741211,-465.026092529297,94.0695648193359
51,1019,-85.25,81.10288556,-45.947826385498,-479.495666503906,112.191307067871
53,1021,-82.25,81.10288556,-59.5913047790527,-484.200012207031,150.956527709961
54,1022,-80.75,81.10288556,-74.0608673095703,-495.434783935547,196.486953735352
55,1023,-79.25,81.10288556,-33.4434776306152,-440.200012207031,86.1304321289062
56,1024,-77.75,81.10288556,-65.5043487548828,-472.173919677734,163.165222167969
57,1025,-76.25,81.10288556,-56.4173927307129,-451.173919677734,136.017395019531
63,1121,-93.5,80.669873,-65.3391342163086,-461.173919677734,88.8347854614258
64,1122,-92,80.669873,-69.3391342163086,-468.469573974609,103.982604980469
67,1125,-87.5,80.669873,-34.5391311645508,-459.643463134766,84.4521713256836
68,1126,-86,80.669873,-35.5652160644531,-468.730438232422,89.9826049804688
69,1127,-84.5,80.669873,-47.5913047790527,-480.200012207031,121.426086425781
71,1129,-81.5,80.669873,-49.2956504821777,-469.200012207031,126.252174377441
73,1131,-78.5,80.669873,-53.5913047790527,-459.643463134766,129.460876464844
74,1132,-77,80.669873,-68.1217422485352,-470.173919677734,167.34782409668
75,1133,-75.5,80.669873,-80.5652160644531,-473.40869140625,203.173919677734
82,1226,-95.75,80.23686044,-65.7217407226562,-453.878265380859,78.2173919677734
83,1227,-94.25,80.23686044,-61.1043472290039,-452.40869140625,84.8347854614258
84,1228,-92.75,80.23686044,-90.4869537353516,-478.469573974609,135.808700561523
85,1229,-91.25,80.23686044,-66.2521743774414,-464.530426025391,117.660865783691
86,1230,-89.75,80.23686044,-34.0434799194336,-446.234771728516,82.4521713256836
87,1231,-88.25,80.23686044,-33.2173919677734,-453.556518554688,90.7478256225586
