"UniqueID","SiteID","Longitude","Latitude","puntos10","puntos11","puntos12"
4,594,-80.75,82.83493644,-112.643478393555,-502.600006103516,70.4173889160156
5,595,-79.25,82.83493644,-129.678268432617,-516.721740722656,114.52173614502
6,596,-77.75,82.83493644,-121.713043212891,-499.843475341797,108.400001525879
7,597,-76.25,82.83493644,-134.695648193359,-507.843475341797,137.417388916016
11,698,-86,82.40192356,-104.76522064209,-511.652160644531,53.6608695983887
14,701,-81.5,82.40192356,-140.539123535156,-537.617370605469,148.46955871582
15,702,-80,82.40192356,-117.469566345215,-502.617401123047,81.5043487548828
16,703,-78.5,82.40192356,-169.573913574219,-558.791320800781,259.573913574219
17,704,-77,82.40192356,-174.626083374023,-558.895629882812,293.539123535156
21,803,-88.25,81.968911,-112.852172851562,-518.669555664062,70.6086959838867
22,804,-86.75,81.968911,-114.730438232422,-523.669555664062,78.6260833740234
23,805,-85.25,81.968911,-110.660865783691,-516.739135742188,68.7826080322266
24,806,-83.75,81.968911,-125.486953735352,-529.634765625,101.730438232422
25,807,-82.25,81.968911,-136.365219116211,-535.530456542969,130.539123535156
26,808,-80.75,81.968911,-126.417388916016,-515.669555664062,96.8000030517578
27,809,-79.25,81.968911,-120.400001525879,-501.686950683594,83.6956558227539
28,810,-77.75,81.968911,-170.417388916016,-554.756530761719,258.521728515625
29,811,-76.25,81.968911,-170.504348754883,-545.86083984375,257.730438232422
33,910,-89,81.53589844,-114.869567871094,-516.739135742188,81.6260833740234
34,911,-87.5,81.53589844,-115.800003051758,-522.756530761719,83.8347854614258
35,912,-86,81.53589844,-123.556518554688,-532.652160644531,97.7478256225586
36,913,-84.5,81.53589844,-140.417388916016,-548.652160644531,146.765213012695
37,914,-83,81.53589844,-155.330429077148,-559.617370605469,190.834777832031
38,915,-81.5,81.53589844,-171.260864257812,-571.582580566406,245.817398071289
39,916,-80,81.53589844,-182.24348449707,-576.617370605469,278.991302490234
40,917,-78.5,81.53589844,-148.330429077148,-529.756530761719,165.852172851562
41,918,-77,81.53589844,-152.486953735352,-527.947814941406,177.321731567383
42,919,-75.5,81.53589844,-153.486953735352,-520.826110839844,179.095657348633
45,1013,-94.25,81.10288556,-121.043479919434,-505.721740722656,58.6782608032227
46,1014,-92.75,81.10288556,-119.008697509766,-505.791290283203,62.6956520080566
48,1016,-89.75,81.10288556,-110.921737670898,-507.843475341797,75.7304382324219
49,1017,-88.25,81.10288556,-108.800003051758,-511.77392578125,78.7304382324219
51,1019,-85.25,81.10288556,-120.452171325684,-527.704345703125,91.0086975097656
53,1021,-82.25,81.10288556,-139.208694458008,-534.599975585938,129.043472290039
54,1022,-80.75,81.10288556,-155.139129638672,-546.565246582031,173.113037109375
55,1023,-79.25,81.10288556,-114.156524658203,-490.600006103516,67.8695678710938
56,1024,-77.75,81.10288556,-143.295654296875,-517.826110839844,137.234786987305
57,1025,-76.25,81.10288556,-132.382614135742,-496.826080322266,111.182609558105
63,1121,-93.5,80.669873,-127.06086730957,-506.826080322266,72.7652206420898
64,1122,-92,80.669873,-131.06086730957,-511.930419921875,86.8173904418945
67,1125,-87.5,80.669873,-104.660865783691,-506.756530761719,68.7478256225586
68,1126,-86,80.669873,-110.434783935547,-517.669555664062,72.8173904418945
69,1127,-84.5,80.669873,-127.208694458008,-530.599975585938,100.973915100098
71,1129,-81.5,80.669873,-131.104354858398,-519.599975585938,102.147827148438
73,1131,-78.5,80.669873,-133.208694458008,-506.756530761719,101.339134216309
74,1132,-77,80.669873,-146.278259277344,-515.826110839844,132.65217590332
75,1133,-75.5,80.669873,-155.434783935547,-519.791320800781,164.826080322266
82,1226,-95.75,80.23686044,-127.078262329102,-501.721740722656,61.7826080322266
83,1227,-94.25,80.23686044,-122.095649719238,-498.791290283203,68.7652206420898
84,1228,-92.75,80.23686044,-151.113037109375,-521.930419921875,114.991302490234
85,1229,-91.25,80.23686044,-126.147827148438,-505.069580078125,97.9391326904297
86,1230,-89.75,80.23686044,-97.9565200805664,-488.965209960938,66.7478256225586
87,1231,-88.25,80.23686044,-100.782608032227,-498.843475341797,72.8521728515625
89,1233,-85.25,80.23686044,-99.295654296875,-500.652160644531,48.9043464660645
90,1234,-83.75,80.23686044,-106.104347229004,-498.600006103516,53.9217376708984
91,1235,-82.25,80.23686044,-114.052177429199,-500.530426025391,65.0086975097656
92,1236,-80.75,80.23686044,-131.086959838867,-514.565246582031,96.3565216064453
93,1237,-79.25,80.23686044,-147.086959838867,-525.582580566406,134.40869140625
