"UniqueID","SiteID","Longitude","Latitude","puntos10","puntos11","puntos12"
4,594,-80.75,82.83493644,-99.2173919677734,-493,72.0869598388672
5,595,-79.25,82.83493644,-116.391304016113,-507.608703613281,116.608695983887
6,596,-77.75,82.83493644,-108.565216064453,-491.217376708984,110
7,597,-76.25,82.83493644,-121.47826385498,-499.217376708984,139.086959838867
11,698,-86,82.40192356,-91.8260879516602,-502.260864257812,56.3043479919434
14,701,-81.5,82.40192356,-126.695655822754,-528.086975097656,150.34782409668
15,702,-80,82.40192356,-103.34782409668,-493.086944580078,83.5217361450195
16,703,-78.5,82.40192356,-155.869567871094,-549.95654296875,261.869567871094
17,704,-77,82.40192356,-161.130432128906,-550.478271484375,295.695648193359
21,803,-88.25,81.968911,-100.260871887207,-509.347839355469,73.0434799194336
22,804,-86.75,81.968911,-101.65217590332,-514.347839355469,81.1304321289062
23,805,-85.25,81.968911,-97.3043441772461,-507.695648193359,71.9130401611328
24,806,-83.75,81.968911,-111.434783935547,-520.173889160156,104.65217590332
25,807,-82.25,81.968911,-121.82608795166,-525.652160644531,132.695648193359
26,808,-80.75,81.968911,-112.086959838867,-506.347839355469,100
27,809,-79.25,81.968911,-106,-492.434783935547,86.4782638549805
28,810,-77.75,81.968911,-156.086959838867,-545.782592773438,260.608703613281
29,811,-76.25,81.968911,-156.521743774414,-537.304321289062,260.652160644531
33,910,-89,81.53589844,-102.34782409668,-507.695648193359,84.1304321289062
34,911,-87.5,81.53589844,-103,-513.782592773438,87.1739120483398
35,912,-86,81.53589844,-109.782608032227,-523.260864257812,100.739128112793
36,913,-84.5,81.53589844,-126.086959838867,-539.260864257812,149.826080322266
37,914,-83,81.53589844,-140.65217590332,-550.086975097656,194.173919677734
38,915,-81.5,81.53589844,-156.304351806641,-561.913024902344,249.086959838867
39,916,-80,81.53589844,-167.217391967773,-567.086975097656,282.956512451172
40,917,-78.5,81.53589844,-133.65217590332,-520.782592773438,169.260864257812
41,918,-77,81.53589844,-138.434783935547,-519.739135742188,182.608688354492
42,919,-75.5,81.53589844,-139.434783935547,-512.130432128906,183.478256225586
45,1013,-94.25,81.10288556,-109.217391967773,-496.608703613281,61.3913040161133
46,1014,-92.75,81.10288556,-107.043479919434,-496.956512451172,65.4782638549805
48,1016,-89.75,81.10288556,-98.6086959838867,-499.217376708984,78.6521759033203
49,1017,-88.25,81.10288556,-96,-502.869567871094,81.6521759033203
51,1019,-85.25,81.10288556,-106.260871887207,-518.521728515625,95.0434799194336
53,1021,-82.25,81.10288556,-124.043479919434,-525,133.217391967773
54,1022,-80.75,81.10288556,-139.695648193359,-536.826110839844,177.565216064453
55,1023,-79.25,81.10288556,-98.7826080322266,-481,71.3478240966797
56,1024,-77.75,81.10288556,-128.478256225586,-509.130432128906,142.173919677734
57,1025,-76.25,81.10288556,-117.913040161133,-488.130432128906,115.913040161133
63,1121,-93.5,80.669873,-115.304344177246,-498.130432128906,75.8260879516602
64,1122,-92,80.669873,-119.304344177246,-503.652160644531,90.0869598388672
67,1125,-87.5,80.669873,-91.3043441772461,-497.782623291016,71.739128112793
68,1126,-86,80.669873,-96.1739120483398,-508.347839355469,76.0869598388672
69,1127,-84.5,80.669873,-112.043479919434,-521,104.869567871094
71,1129,-81.5,80.669873,-115.52173614502,-510,106.739128112793
73,1131,-78.5,80.669873,-118.043479919434,-497.782623291016,106.695655822754
74,1132,-77,80.669873,-131.391311645508,-507.130432128906,139.260864257812
75,1133,-75.5,80.669873,-141.173919677734,-510.956512451172,172.130432128906
82,1226,-95.75,80.23686044,-115.391304016113,-492.608703613281,64.9130401611328
83,1227,-94.25,80.23686044,-110.47826385498,-489.956512451172,71.8260879516602
84,1228,-92.75,80.23686044,-139.565216064453,-513.652160644531,118.956520080566
85,1229,-91.25,80.23686044,-114.739128112793,-497.347839355469,101.695655822754
86,1230,-89.75,80.23686044,-85.7826080322266,-480.826080322266,69.739128112793
87,1231,-88.25,80.23686044,-87.9130401611328,-490.217376708984,76.260871887207
89,1233,-85.25,80.23686044,-84.4782638549805,-491.260864257812,52.5217399597168
90,1234,-83.75,80.23686044,-90.5217361450195,-489,57.6086959838867
91,1235,-82.25,80.23686044,-98.260871887207,-490.652160644531,69.0434799194336
92,1236,-80.75,80.23686044,-115.434783935547,-504.826080322266,101.782608032227
93,1237,-79.25,80.23686044,-131.434783935547,-515.913024902344,140.043472290039
94,1238,-77.75,80.23686044,-155.956527709961,-538.521728515625,205.260864257812
95,1239,-76.25,80.23686044,-154.65217590332,-527.869567871094,200.043472290039
104,1334,-95,79.80384756,-126.913040161133,-496.304351806641,87.3043441772461
