"UniqueID","SiteID","Longitude","Latitude","puntos10","puntos11","puntos12"
4,594,-80.75,82.83493644,-74.0434799194336,-475,75.2173919677734
5,595,-79.25,82.83493644,-91.4782638549805,-490.521728515625,120.52173614502
6,596,-77.75,82.83493644,-83.9130401611328,-475.043487548828,113
7,597,-76.25,82.83493644,-96.6956558227539,-483.043487548828,142.217391967773
11,698,-86,82.40192356,-67.5652160644531,-484.652160644531,61.2608680725098
14,701,-81.5,82.40192356,-100.739128112793,-510.217376708984,153.869567871094
15,702,-80,82.40192356,-76.8695678710938,-475.217376708984,87.3043441772461
16,703,-78.5,82.40192356,-130.173919677734,-533.391296386719,266.173919677734
17,704,-77,82.40192356,-135.826080322266,-534.695678710938,299.739135742188
21,803,-88.25,81.968911,-76.6521759033203,-491.869567871094,77.6086959838867
22,804,-86.75,81.968911,-77.1304321289062,-496.869567871094,85.8260879516602
23,805,-85.25,81.968911,-72.260871887207,-490.739135742188,77.7826080322266
24,806,-83.75,81.968911,-85.0869598388672,-502.434783935547,110.130432128906
25,807,-82.25,81.968911,-94.5652160644531,-507.130432128906,136.739135742188
26,808,-80.75,81.968911,-85.2173919677734,-488.869567871094,106
27,809,-79.25,81.968911,-79,-475.086944580078,91.6956558227539
28,810,-77.75,81.968911,-129.217391967773,-528.95654296875,264.521728515625
29,811,-76.25,81.968911,-130.304351806641,-521.260864257812,266.130432128906
33,910,-89,81.53589844,-78.8695678710938,-490.739135742188,88.8260879516602
34,911,-87.5,81.53589844,-79,-496.956512451172,93.4347839355469
35,912,-86,81.53589844,-83.9565200805664,-505.652160644531,106.34782409668
36,913,-84.5,81.53589844,-99.2173919677734,-521.652160644531,155.565216064453
37,914,-83,81.53589844,-113.130432128906,-532.217407226562,200.434783935547
38,915,-81.5,81.53589844,-128.260864257812,-543.782592773438,255.217391967773
39,916,-80,81.53589844,-139.043472290039,-549.217407226562,290.391296386719
40,917,-78.5,81.53589844,-106.130432128906,-503.956512451172,175.65217590332
41,918,-77,81.53589844,-112.086959838867,-504.347839355469,192.521743774414
42,919,-75.5,81.53589844,-113.086959838867,-495.826080322266,191.695648193359
45,1013,-94.25,81.10288556,-87.0434799194336,-479.521728515625,66.4782638549805
46,1014,-92.75,81.10288556,-84.6086959838867,-480.391296386719,70.6956558227539
48,1016,-89.75,81.10288556,-75.5217361450195,-483.043487548828,84.1304321289062
49,1017,-88.25,81.10288556,-72,-486.173919677734,87.1304321289062
51,1019,-85.25,81.10288556,-79.6521759033203,-501.304351806641,102.608695983887
53,1021,-82.25,81.10288556,-95.6086959838867,-507,141.043472290039
54,1022,-80.75,81.10288556,-110.739128112793,-518.565246582031,185.913040161133
55,1023,-79.25,81.10288556,-69.9565200805664,-463,77.8695678710938
56,1024,-77.75,81.10288556,-100.695655822754,-492.826080322266,151.434783935547
57,1025,-76.25,81.10288556,-90.7826080322266,-471.826080322266,124.782608032227
63,1121,-93.5,80.669873,-93.260871887207,-481.826080322266,81.5652160644531
64,1122,-92,80.669873,-97.260871887207,-488.130432128906,96.2173919677734
67,1125,-87.5,80.669873,-66.260871887207,-480.956512451172,77.3478240966797
68,1126,-86,80.669873,-69.4347839355469,-490.869567871094,82.2173919677734
69,1127,-84.5,80.669873,-83.6086959838867,-503,112.17391204834
71,1129,-81.5,80.669873,-86.3043441772461,-492,115.34782409668
73,1131,-78.5,80.669873,-89.6086959838867,-480.956512451172,116.739128112793
74,1132,-77,80.669873,-103.47826385498,-490.826080322266,151.65217590332
75,1133,-75.5,80.669873,-114.434783935547,-494.391296386719,185.826080322266
82,1226,-95.75,80.23686044,-93.4782638549805,-475.521728515625,70.7826080322266
83,1227,-94.25,80.23686044,-88.6956558227539,-473.391296386719,77.5652160644531
84,1228,-92.75,80.23686044,-117.913040161133,-498.130432128906,126.391304016113
85,1229,-91.25,80.23686044,-93.3478240966797,-482.869567871094,108.739128112793
86,1230,-89.75,80.23686044,-62.9565200805664,-465.565216064453,75.3478240966797
87,1231,-88.25,80.23686044,-63.7826080322266,-474.043487548828,82.6521759033203
89,1233,-85.25,80.23686044,-56.6956520080566,-473.652160644531,59.3043479919434
90,1234,-83.75,80.23686044,-61.3043479919434,-471,64.5217361450195
91,1235,-82.25,80.23686044,-68.6521759033203,-472.130432128906,76.6086959838867
92,1236,-80.75,80.23686044,-86.0869598388672,-486.565216064453,111.956520080566
93,1237,-79.25,80.23686044,-102.086959838867,-497.782623291016,150.608688354492
94,1238,-77.75,80.23686044,-127.391304016113,-521.304321289062,220.65217590332
95,1239,-76.25,80.23686044,-127.130432128906,-511.173919677734,216.608688354492
104,1334,-95,79.80384756,-105.782608032227,-480.260864257812,95.260871887207
105,1335,-93.5,79.80384756,-84.7826080322266,-466.695648193359,82.7826080322266
106,1336,-92,79.80384756,-125.565216064453,-501.434783935547,155.130432128906
107,1337,-90.5,79.80384756,-113.695655822754,-498.869567871094,153.130432128906
108,1338,-89,79.80384756,-73.5217361450195,-481.130432128906,110.17391204834
109,1339,-87.5,79.80384756,-54.9130439758301,-465.608703613281,68.2173919677734
110,1340,-86,79.80384756,-60.2173919677734,-478.304351806641,72.5217361450195
111,1341,-84.5,79.80384756,-61.6086959838867,-474.434783935547,73.1739120483398
112,1342,-83,79.80384756,-87.6521759033203,-496.347839355469,118.086959838867
113,1343,-81.5,79.80384756,-70.7826080322266,-469.478271484375,79.260871887207
114,1344,-80,79.80384756,-102.65217590332,-499.130432128906,146
115,1345,-78.5,79.80384756,-113.739128112793,-506,173.695648193359
116,1346,-77,79.80384756,-103.043479919434,-485.086944580078,141.695648193359
117,1347,-75.5,79.80384756,-99.6521759033203,-470.739135742188,137.34782409668
131,1443,-91.25,79.370835,-71.9130401611328,-458.217376708984,88.4347839355469
132,1444,-89.75,79.370835,-86.6086959838867,-484.782623291016,131.826080322266
133,1445,-88.25,79.370835,-61.652172088623,-466.695648193359,81.0434799194336
134,1446,-86.75,79.370835,-56.3913040161133,-466.391296386719,67.8260879516602
135,1447,-85.25,79.370835,-53.347827911377,-464.086944580078,60.9565200805664
136,1448,-83.75,79.370835,-75.3913040161133,-483,98.6521759033203
137,1449,-82.25,79.370835,-72.8695678710938,-471.913055419922,85.5652160644531
138,1450,-80.75,79.370835,-72.4347839355469,-465.260864257812,78.6521759033203
