"UniqueID","SiteID","Longitude","Latitude","puntos10","puntos11","puntos12"
4,594,-80.75,82.83493644,24.973913192749,-404.200012207031,87.5304336547852
5,595,-79.25,82.83493644,6.51304340362549,-423.313049316406,135.913040161133
6,596,-77.75,82.83493644,13.052173614502,-411.426086425781,124.800003051758
7,597,-76.25,82.83493644,0.782608687877655,-419.426086425781,154.53044128418
11,698,-86,82.40192356,27.8608703613281,-415.391296386719,80.7565231323242
14,701,-81.5,82.40192356,1.3565217256546,-439.930419921875,167.721740722656
15,702,-80,82.40192356,27.2782611846924,-404.930419921875,102.182609558105
16,703,-78.5,82.40192356,-29.1043472290039,-468.234771728516,283.104339599609
17,704,-77,82.40192356,-36.2956504821777,-472.617401123047,315.643463134766
21,803,-88.25,81.968911,16.2086963653564,-423.121734619141,95.5652160644531
22,804,-86.75,81.968911,19.3217391967773,-428.121734619141,104.295654296875
23,805,-85.25,81.968911,26.2434787750244,-424.043487548828,100.869567871094
24,806,-83.75,81.968911,18.5478267669678,-432.660858154297,131.678268432617
25,807,-82.25,81.968911,12.6608695983887,-434.278259277344,152.643478393555
26,808,-80.75,81.968911,20.4695644378662,-420.121734619141,129.600006103516
27,809,-79.25,81.968911,27.2000007629395,-406.852172851562,112.217391967773
28,810,-77.75,81.968911,-23.5304355621338,-462.77392578125,279.913055419922
29,811,-76.25,81.968911,-27.1826095581055,-458.156524658203,287.678253173828
33,910,-89,81.53589844,13.4782609939575,-424.043487548828,107.295654296875
34,911,-87.5,81.53589844,15.3999996185303,-430.77392578125,118.06086730957
35,912,-86,81.53589844,17.6260871887207,-436.391296386719,128.40869140625
36,913,-84.5,81.53589844,6.46956539154053,-452.391296386719,178.139129638672
37,914,-83,81.53589844,-4.87826108932495,-461.930419921875,225.06086730957
38,915,-81.5,81.53589844,-17.956521987915,-472.469573974609,279.330444335938
39,916,-80,81.53589844,-28.2260875701904,-478.930419921875,319.634796142578
40,917,-78.5,81.53589844,2.12173914909363,-437.77392578125,200.791305541992
41,918,-77,81.53589844,-8.45217418670654,-443.808685302734,231.513046264648
42,919,-75.5,81.53589844,-9.45217418670654,-431.695648193359,224.017395019531
45,1013,-94.25,81.10288556,0.173913046717644,-412.313049316406,86.4869537353516
46,1014,-92.75,81.10288556,3.63478255271912,-415.234771728516,91.2173919677734
48,1016,-89.75,81.10288556,15.2869567871094,-419.426086425781,105.678260803223
49,1017,-88.25,81.10288556,22.3999996185303,-420.504333496094,108.678260803223
51,1019,-85.25,81.10288556,25.008695602417,-433.582611083984,132.365219116211
53,1021,-82.25,81.10288556,16.2347831726074,-436.200012207031,171.826080322266
54,1022,-80.75,81.10288556,3.15652179718018,-446.739135742188,218.747833251953
55,1023,-79.25,81.10288556,43.4260864257812,-392.200012207031,103.52173614502
56,1024,-77.75,81.10288556,8.58260822296143,-428.695648193359,187.860870361328
57,1025,-76.25,81.10288556,15.9304351806641,-407.695648193359,159.669570922852
63,1121,-93.5,80.669873,-6.55652189254761,-417.695648193359,104.139129638672
64,1122,-92,80.669873,-10.5565214157104,-427.078247070312,120.330436706543
67,1125,-87.5,80.669873,32.2434768676758,-414.77392578125,99.4086990356445
68,1126,-86,80.669873,35.7391319274902,-422.121734619141,106.330436706543
69,1127,-84.5,80.669873,28.2347831726074,-432.200012207031,140.904342651367
71,1129,-81.5,80.669873,28.6173915863037,-421.200012207031,149.208694458008
73,1131,-78.5,80.669873,22.2347831726074,-414.77392578125,156.24348449707
74,1132,-77,80.669873,6.31304359436035,-426.695648193359,200.391311645508
75,1133,-75.5,80.669873,-9.2608699798584,-429.234771728516,239.695648193359
82,1226,-95.75,80.23686044,-7.28695631027222,-408.313049316406,93.8695678710938
83,1227,-94.25,80.23686044,-3.01739120483398,-408.234771728516,100.139129638672
84,1228,-92.75,80.23686044,-32.7478256225586,-437.078247070312,155.634780883789
85,1229,-91.25,80.23686044,-9.20869541168213,-425.921752929688,136.443481445312
86,1230,-89.75,80.23686044,26.8260860443115,-405.539123535156,97.4086990356445
87,1231,-88.25,80.23686044,31.1304340362549,-410.426086425781,107.791305541992
89,1233,-85.25,80.23686044,52.5826072692871,-404.391296386719,85.9826049804688
90,1234,-83.75,80.23686044,53.6173896789551,-400.200012207031,91.7130432128906
91,1235,-82.25,80.23686044,47.8086967468262,-399.278259277344,106.365219116211
92,1236,-80.75,80.23686044,29.3478260040283,-414.739135742188,151.973907470703
93,1237,-79.25,80.23686044,13.3478260040283,-426.469573974609,192.165222167969
94,1238,-77.75,80.23686044,-15.034782409668,-453.582611083984,281.191314697266
95,1239,-76.25,80.23686044,-18.8782615661621,-445.504333496094,281.765228271484
104,1334,-95,79.80384756,-22.6695652008057,-417.156524658203,126.556518554688
105,1335,-93.5,79.80384756,-1.66956520080566,-404.617401123047,105.869567871094
106,1336,-92,79.80384756,-41.9391288757324,-443.460876464844,188.478256225586
107,1337,-90.5,79.80384756,-28.017391204834,-441.921752929688,186.478256225586
108,1338,-89,79.80384756,17.2869567871094,-420.078247070312,138.904342651367
109,1339,-87.5,79.80384756,42.052173614502,-400.965209960938,92.330436706543
110,1340,-86,79.80384756,45.4695663452148,-410.582611083984,99.7130432128906
111,1341,-84.5,79.80384756,50.2347831726074,-404.660858154297,101.904350280762
112,1342,-83,79.80384756,28.8086948394775,-424.008697509766,156.052169799805
113,1343,-81.5,79.80384756,47.7304344177246,-395.086944580078,110.556518554688
114,1344,-80,79.80384756,13.8086957931519,-426.278259277344,193.199996948242
115,1345,-78.5,79.80384756,0.156521737575531,-435.200012207031,229.617385864258
